race_distance,race_city,race_country,Region,url_region,url_distance,url_location,url_race,2011,2012,2013,2014,2015,2016,2017,2018
Ironman 140.6,Lanzarote,Spain,Europe,emea,ironman,lanzarote,lanzarote,,20120519,20130518,20140517,20150523,20160521,20170520,20180526
Ironman 140.6,Tallinn,Estonia,Europe,emea,ironman,tallinnn,tallinn,,,,,,,,20180804
Ironman 140.6,Copenhagen,Denmark,Europe,emea,ironman,copenhagen,copenhagen,,,20130818,20140824,20150823,20160821,20170820,20180819
Ironman 140.6,Haugesund,Norway,Europe,emea,ironman,haugesund,haugesund,,,,,,,,20180701
Ironman 140.6,Hamburg,Germany,Europe,emea,ironman,hamburg,hamburg,,,,,,,20170813,20180729
Ironman 140.6,Klagenfurt,Austria,Europe,emea,ironman,austria,austria,,20120701,20130630,20140629,20150628,20160626,20170702,20180701
Ironman 140.6,Frankfurt,Germany,Europe,emea,ironman,frankfurt,germany,,20120708,20130707,20140706,20150705,20160703,20170709,20180708
Ironman 140.6,Kalmar,Sweden,Europe,emea,ironman,kalmar,kalmar,,20120818,20130817,20140816,20150815,20160820,20170819,20180818
Ironman 140.6,Emilia Romagna,Italy,Europe,emea,ironman,emilia-romagna,emiliaromagna,,,,,,,20170923,20180922
Ironman 140.6,Zurich,Switzerland,Europe,emea,ironman,switzerland,switzerland,20110710,20120715,20130728,20140727,20150719,20160724,20170730,20180729
Ironman 140.6,Nice,France,Europe,emea,ironman,france,france,,20120624,20130623,20140629,20150628,20160605,20170723,20180624
Ironman 140.6,Bolton,England,Europe,emea,ironman,uk,uk,,20120722,20130804,20140720,20150719,20160717,20170716,20180715
Ironman 140.6,Pembrokeshire,England,Europe,emea,ironman,wales,wales,,20120916,20130908,20140914,20150913,20160918,20170910,20180909
Ironman 140.6,Barcelona,Spain,Europe,emea,ironman,barcelona,barcelona,,,,20141005,20151004,20161002,20170930,20181007
Ironman 140.6,Vichy,France,Europe,emea,ironman,vichy,vichy,,,,,20150830,20160828,20170827,20180826
Ironman 140.6,Maastricht,Netherlands,Europe,emea,ironman,inactive/maastricht,Maastricht,,,,,20150802,20160731,20170806,20180805
Ironman 140.6,Kailua-Kona,USA,North America,americas,ironman,world-championship,worldchampionship,20111008,20121013,20130112,20141011,20151010,20161008,20171014,20181013
Ironman 140.6,The Woodlands,USA,North America,americas,ironman,texas,texas,,20120519,20130518,20140517,20150516,20160514,20170422,20180428
Ironman 140.6,Santa Rosa,USA,North America,americas,ironman,santa-rosa,santarosa,,,,,,,20170729,20180512
Ironman 140.6,Boulder,USA,North America,americas,ironman,boulder,boulder,,,,20140803,20150802,20160807,20170611,20180610
Ironman 140.6,Lake Placid,USA,North America,americas,ironman,lake-placid,lakeplacid,20110724,20120722,20130728,20140727,20150726,20160724,20170723,20180722
Ironman 140.6,Whistler,Canada,North America,americas,ironman,canada,canada,,20120826,20130825,20140727,20150726,20160724,20170730,20180729
Ironman 140.6,Mont Tremblant,Canada,North America,americas,ironman,mont-tremblant,monttremblant,,20120819,20130818,20140817,20150816,20160821,20170820,20180819
Ironman 140.6,Madison,USA,North America,americas,ironman,wisconsin,wisconsin,,20120909,20130908,20140907,20150913,20160911,20170910,20180909
Ironman 140.6,Cambridge,USA,North America,americas,ironman,maryland,maryland,,,,20140920,20151017,20161001,20171007,20180929
Ironman 140.6,Chattanooga,USA,North America,americas,ironman,chattanooga,chattanooga,,,,20140928,20150927,20160925,20170924,20180930
Ironman 140.6,Louisville,USA,North America,americas,ironman,louisville,louisville,,20120826,20130825,20140824,10151011,10161009,20171015,20181014
Ironman 140.6,Panama City Beach,USA,North America,americas,ironman,florida,florida,20111105,20121103,20131102,20141101,20151107,20161105,20171104,20181104
Ironman 140.6,Tempe,USA,North America,americas,ironman,arizona,arizona,20111120,20121118,20131117,20141116,20151115,20161120,20171119,20181118
Ironman 140.6,Cozumel,Mexico,North America,americas,ironman,cozumel,cozumel,20111127,20121125,20131201,20141130,20151129,20161127,20171126,20181118
Ironman 140.6,Florianopolis,Brazil,South America,americas,ironman,brazil,brazil,,20120527,20130526,20140525,20150531,20160529,20170528,20180527
Ironman 140.6,Mar del Plata,Argentina,South America,americas,ironman,mar-del-plat,mardelplata,,,,,,,20171203,20181202
Ironman 140.6,Nelson Mandela Bay,South Africa,Africa,emea,ironman,south-africa,southafrica,,20120422,20130414,20140406,20150329,20160410,20170402,20180415
Ironman 140.6,Gurye,Korea,Asia,asiapac,ironman,korea,korea,,,,,,,20170910,20180909
Ironman 140.6,Penghu,Taiwan,Asia,asiapac,ironman,taiwan,taiwan,,,,,20150412,20161002,20171001,20181007
Ironman 140.6,Langkawi,Malaysia,Asia,asiapac,ironman,malaysia,malaysia,,,,20140927,20151114,20161112,20171111,20181117
Ironman 140.6,Port Macquarie,Australia,Oceania,asiapac,ironman,australia,australia,,20120506,20130505,20140504,20150503,20160501,20170507,20180506
Ironman 140.6,Cairns,Australia,Oceania,asiapac,ironman,cairns,cairns,,20120603,20130609,20140608,20150614,20160612,20170611,20180610
Ironman 140.6,Busselton,Australia,Oceania,asiapac,ironman,western-australia,westernaustralia,20111204,20121209,20131208,20141207,20151206,20161204,20171203,20181202
Ironman 140.6,Taupo,New Zealand,Oceania,asiapac,ironman,new-zealand,newzealand,,,20130302,20140301,20150307,20160305,20170304,20180303
Ironman 140.6,Muskoka,Canada,North America,americas,ironman,inactive/muskoka,muskoka,,,,,20150830,,,
